,token,sentiment
0,Huge,+
1,Long,+
2,Many,+
3,Special,+
4,able,+
5,active,+
6,adorable,+
7,affordable,+
8,alive,+
9,artistic,+
10,available,+
11,awful,-
12,bad,-
13,baddiegirlshair,-
14,beautiful,+
15,becreative,+
16,big,+
17,bright,+
18,cancerfree,+
19,classic,+
20,colorful,+
21,colourful,+
22,constant,+
23,creative,+
24,cultural,+
25,current,+
26,daily,+
27,dead,-
28,different,+
29,dramatic,-
30,drive,+
31,dropthemic,+
32,dry,-
33,energetic,+
34,enigmatic,+
35,exotic,+
36,extra,+
37,famous,+
38,fantastic,+
39,fashionable,+
40,feelingold,+
41,few,-
42,final,+
43,fluffy,+
44,free,+
45,fresh,+
46,full,+
47,furious,-
48,getsexy,+
49,good,+
50,goodtime,+
51,gorgeous,+
52,grateful,+
53,great,+
54,greatness,+
55,healthy,+
56,heavy,+
57,ideal,+
58,incredible,+
59,incroyable,+
60,innovative,+
61,inspirational,+
62,interested,+
63,intricate,+
64,legendary,+
65,mad,-
66,magical,+
67,mal,-
68,modern,+
69,monstrous,-
70,natural,+
71,new,+
72,poor,-
73,popular,+
74,positive,+
75,professional,+
76,proud,+
77,rad,+
78,radical,+
79,real,+
80,sad,-
81,safe,+
82,savvy,+
83,serious,+
84,several,+
85,small,-
86,strong,+
87,sunny,+
88,tired,-
89,unable,-
90,unique,+
91,vogue,+
92,vulnerable,-
93,wonderful,+
94,artificial,-
95,basic,-
96,beatiful,+
97,busy,-
98,classy,+
99,clean,+
100,clear,+
101,cold,-
102,complete,+
103,comprehensive,+
104,concrete,+
105,contemporary,+
106,cute,+
107,delicious,+
108,distant,-
109,earth,+
110,earthy,+
111,easyandjoyful,+
112,eligible,+
113,entire,+
114,epic,+
115,fantabulous,+
116,favorite,+
117,festive,+
118,first,+
119,fitnotfat,+
120,funky,+
121,funny,+
122,future,+
123,gethealthy,+
124,glorious,+
125,graceful,+
126,green,+
127,harmonious,+
128,hazardous,-
129,hilarious,+
130,historic,+
131,hot,+
132,humble,+
133,illmatic,+
134,impious,-
135,independent,+
136,laughing,+
137,light,+
138,limited,-
139,lucky,+
140,majestic,+
141,monumental,+
142,motivational,+
143,music,+
144,perspective,+
145,poetic,+
146,progressive,+
147,quick,+
148,realistic,+
149,reasonable,+
150,refreshed,+
151,relatable,+
152,relentless,-
153,rich,+
154,romantic,+
155,scenic,+
156,sensual,+
157,sexy,+
158,sharp,+
159,simple,+
160,simpleelegant,+
161,spontaneous,+
162,stylish,+
163,successful,+
164,sure,+
165,sustainable,+
166,sweet,+
167,thankful,+
168,top,+
169,ugly,-
170,wrong,-
171,young,+
172,colorfull,+
173,dark,-
174,disgraceful,-
175,fete,+
176,fit,+
177,fragile,-
178,happiness,+
179,helpful,+
180,late,-
181,luxurious,+
182,marvelous,+
183,mean,-
184,perfect,+
185,precious,+
186,scary,-
187,skeptical,-
188,stupid,-
189,vibrant,+
